GUID;Departament;Dispositiu;Edifici;Planta;Zona;Àrea Total (m²);Elements
"2hLrug0VDEDOLgOtgdGOW1";"";"Porta";"UDI";"P00";"014";"0";"1"
"2hLrug0VDEDOLgOtgdGOXn";"";"Porta";"UDI";"P00";"018";"0";"1"
"2hLrug0VDEDOLgOtgdGPUa";"";"Porta";"UDI";"P00";"025";"0";"1"
"2hLrug0VDEDOLgOtgdGPUB";"";"Porta";"UDI";"P00";"025";"0";"1"
"2hLrug0VDEDOLgOtgdGPV3";"";"Porta";"UDI";"P00";"025";"0";"1"
"2hLrug0VDEDOLgOtgdGPCZ";"";"Porta";"UDI";"P00";"025";"0";"1"
"2hLrug0VDEDOLgOtgdGPRm";"";"Porta";"UDI";"P00";"025";"0";"1"
"2hLrug0VDEDOLgOtgdGPOa";"";"Porta";"UDI";"P00";"025";"0";"1"
"2hLrug0VDEDOLgOtgdGPOi";"";"Porta";"UDI";"P00";"025";"0";"1"
"2hLrug0VDEDOLgOtgdGPOq";"";"Porta";"UDI";"P00";"025";"0";"1"
"2hLrug0VDEDOLgOtgdGPOy";"";"Porta";"UDI";"P00";"025";"0";"1"
"2hLrug0VDEDOLgOtgdGPGP";"";"Porta";"UDI";"P00";"025";"0";"1"
"1$3gjDcUDB2hRr4evSR8fc";"";"Porta";"UDI";"P00";"030";"0";"1"
"1$3gjDcUDB2hRr4evSR8fA";"";"Porta";"UDI";"P00";"030";"0";"1"
"0dLlR4SH52h8ogmGwFKRTc";"";"Porta";"UDI";"P00";"032";"0";"1"
"0dLlR4SH52h8ogmGwFKRTd";"";"Porta";"UDI";"P00";"032";"0";"1"
"2hLrug0VDEDOLgOtgdGPSx";"";"Porta";"UDI";"P00";"033";"0";"1"
"2ObjyVdUT4Bg8spmVaIJT2";"";"Porta";"UDI";"P01";"001";"0";"1"
"2ObjyVdUT4Bg8spmVaIJRt";"";"Porta";"UDI";"P01";"001";"0";"1"
"2ObjyVdUT4Bg8spmVaIJSG";"";"Porta";"UDI";"P01";"001";"0";"1"
"2ObjyVdUT4Bg8spmVaIJUF";"";"Porta";"UDI";"P01";"001";"0";"1"
"2ObjyVdUT4Bg8spmVaIJG6";"";"Porta";"UDI";"P01";"001";"0";"1"
"1Y57hoWCP1rfmgpHYXs$4r";"";"Porta";"UDI";"P01";"001";"0";"1"
"1Y57hoWCP1rfmgpHYXs$4H";"";"Porta";"UDI";"P01";"001";"0";"1"
"3Ljdw17Rn9xAbcBVq7_cxk";"";"Porta";"UDI";"P01";"002";"0";"1"
"2ObjyVdUT4Bg8spmVaIJVU";"";"Porta";"UDI";"P01";"002";"0";"1"
"3Ljdw17Rn9xAbcBVq7_c$r";"";"Porta";"UDI";"P01";"002";"0";"1"
"3Ljdw17Rn9xAbcBVq7_d5b";"";"Porta";"UDI";"P01";"004";"0";"1"
"3Ljdw17Rn9xAbcBVq7_d2h";"";"Porta";"UDI";"P01";"004";"0";"1"
"3Ljdw17Rn9xAbcBVq7_d3y";"";"Porta";"UDI";"P01";"004";"0";"1"
