GUID,Departament,Dispositiu,Edifici,Planta,Zona,Space Dispositiu,Àrea Total,Elements
"2NOh6n0MD5GPJIkIfeSSYm","","Porta","UDI","P01","038","Armaris tècnics  informàtica","0","1"
"2NOh6n0MD5GPJIkIfeSQqq","","Porta","UDI","P01","038","Armaris tècnics  informàtica","0","1"
"3Ljdw17Rn9xAbcBVq7_dF3","","Porta","UDI","P01","019","Mòdul lavabos","0","1"
"3Ljdw17Rn9xAbcBVq7_dC$","","Porta","UDI","P01","019","Mòdul lavabos","0","1"
"3Ljdw17Rn9xAbcBVq7_d3y","","Porta","UDI","P01","004","Vestidor 1","0","1"
"3Ljdw17Rn9xAbcBVq7_d2h","","Porta","UDI","P01","004","Vestidor 1","0","1"
"3Ljdw17Rn9xAbcBVq7_d1T","","Porta","UDI","P01","007","Vestidor 2","0","1"
"3Ljdw17Rn9xAbcBVq7_d4t","","Porta","UDI","P01","033","Cultius recerca","0","1"
"3Ljdw17Rn9xAbcBVq7_cxk","","Porta","UDI","P01","002","Pas general","0","1"
"3Ljdw17Rn9xAbcBVq7_cwp","","Porta","UDI","P01","005","Accés vestidors","0","1"
"3Ljdw17Rn9xAbcBVq7_cwH","","Porta","UDI","P01","005","Accés vestidors","0","1"
"3Ljdw17Rn9xAbcBVq7_cvX","","Porta","UDI","P01","005","Accés vestidors","0","1"
"3Ljdw17Rn9xAbcBVq7_cuo","","Porta","UDI","P01","005","Accés vestidors","0","1"
"3Ljdw17Rn9xAbcBVq7_cu9","","Porta","UDI","P01","007","Vestidor 2","0","1"
"3Ljdw17Rn9xAbcBVq7_c$r","","Porta","UDI","P01","002","Pas general","0","1"
"3Ljdw17Rn9xAbcBVq7_c_N","","Porta","UDI","P01","008","Pas zona informàtcia","0","1"
"3Ljdw17Rn9xAbcBVq7_czM","","Porta","UDI","P01","008","Pas zona informàtcia","0","1"
"3Ljdw17Rn9xAbcBVq7_cyl","","Porta","UDI","P01","008","Pas zona informàtcia","0","1"
"1PsCqFpN510PG0gsLHWGEb","","Porta","UDI","P02","009","Mòdul lavabos","0","1"
